del_date,he,system_demand
2018-01-23T00:00:00.000Z,14,10479
2018-01-23T00:00:00.000Z,15,10452
2018-01-23T00:00:00.000Z,16,10509
2018-01-23T00:00:00.000Z,17,10663
2018-01-23T00:00:00.000Z,18,10980
2018-01-23T00:00:00.000Z,19,10904
2018-01-23T00:00:00.000Z,20,10757
2018-01-23T00:00:00.000Z,21,10622
2018-01-23T00:00:00.000Z,22,10393
2018-01-23T00:00:00.000Z,23,10031
2018-01-23T00:00:00.000Z,24,9710
2018-01-24T00:00:00.000Z,1,9507
2018-01-24T00:00:00.000Z,2,9367
2018-01-24T00:00:00.000Z,3,9275
2018-01-24T00:00:00.000Z,4,9260
2018-01-24T00:00:00.000Z,5,9240
2018-01-24T00:00:00.000Z,6,9418
2018-01-24T00:00:00.000Z,7,9890
2018-01-24T00:00:00.000Z,8,10416
2018-01-24T00:00:00.000Z,9,10563
2018-01-24T00:00:00.000Z,10,10480
2018-01-24T00:00:00.000Z,11,10437
2018-01-24T00:00:00.000Z,12,10387
2018-01-24T00:00:00.000Z,13,10395
2018-01-24T00:00:00.000Z,14,10406
2018-01-24T00:00:00.000Z,15,10384
2018-01-24T00:00:00.000Z,16,10424
2018-01-24T00:00:00.000Z,17,10590
2018-01-24T00:00:00.000Z,18,10924
2018-01-24T00:00:00.000Z,19,10869
2018-01-24T00:00:00.000Z,20,10733
2018-01-24T00:00:00.000Z,21,10554
2018-01-24T00:00:00.000Z,22,10306
2018-01-24T00:00:00.000Z,23,9963
2018-01-24T00:00:00.000Z,24,9638
2018-01-25T00:00:00.000Z,1,9449
2018-01-25T00:00:00.000Z,2,9390
2018-01-25T00:00:00.000Z,3,9344
2018-01-25T00:00:00.000Z,4,9309
2018-01-25T00:00:00.000Z,5,9405
2018-01-25T00:00:00.000Z,6,9661
2018-01-25T00:00:00.000Z,7,10104
2018-01-25T00:00:00.000Z,8,10539
2018-01-25T00:00:00.000Z,9,10705
2018-01-25T00:00:00.000Z,10,10744
2018-01-25T00:00:00.000Z,11,10790
2018-01-25T00:00:00.000Z,12,10790
2018-01-25T00:00:00.000Z,13,10754
2018-01-25T00:00:00.000Z,14,10762
2018-01-25T00:00:00.000Z,15,10775
2018-01-25T00:00:00.000Z,16,10846
2018-01-25T00:00:00.000Z,17,10960
2018-01-25T00:00:00.000Z,18,11201
2018-01-25T00:00:00.000Z,19,11118
2018-01-25T00:00:00.000Z,20,10767
2018-01-25T00:00:00.000Z,21,10604
2018-01-25T00:00:00.000Z,22,10414
2018-01-25T00:00:00.000Z,23,10165
2018-01-25T00:00:00.000Z,24,9872
2018-01-26T00:00:00.000Z,1,9729
2018-01-26T00:00:00.000Z,2,9654
2018-01-26T00:00:00.000Z,3,9588
2018-01-26T00:00:00.000Z,4,9566
2018-01-26T00:00:00.000Z,5,9574
2018-01-26T00:00:00.000Z,6,9687
2018-01-26T00:00:00.000Z,7,10138
2018-01-26T00:00:00.000Z,8,10649
2018-01-26T00:00:00.000Z,9,10849
2018-01-26T00:00:00.000Z,10,10878
2018-01-26T00:00:00.000Z,11,10925
2018-01-26T00:00:00.000Z,12,10903
2018-01-26T00:00:00.000Z,13,10831
2018-01-26T00:00:00.000Z,14,10809
2018-01-26T00:00:00.000Z,15,10802
2018-01-26T00:00:00.000Z,16,10776
2018-01-26T00:00:00.000Z,17,10853
2018-01-26T00:00:00.000Z,18,11110
2018-01-26T00:00:00.000Z,19,11134
2018-01-26T00:00:00.000Z,20,11022
2018-01-26T00:00:00.000Z,21,10909
2018-01-26T00:00:00.000Z,22,10726
2018-01-26T00:00:00.000Z,23,10440
2018-01-26T00:00:00.000Z,24,10179
2018-01-27T00:00:00.000Z,1,9943
2018-01-27T00:00:00.000Z,2,9805
2018-01-27T00:00:00.000Z,3,9691
2018-01-27T00:00:00.000Z,4,9637
2018-01-27T00:00:00.000Z,5,9628
2018-01-27T00:00:00.000Z,6,9734
2018-01-27T00:00:00.000Z,7,9891
2018-01-27T00:00:00.000Z,8,10125
2018-01-27T00:00:00.000Z,9,10381
2018-01-27T00:00:00.000Z,10,10523
